symbol,name
RELIANCE,Reliance Industries
TCS,Tata Consultancy Services
HDFCBANK,HDFC Bank
ICICIBANK,ICICI Bank
INFY,Infosys
HINDUNILVR,Hindustan Unilever
ITC,ITC
SBIN,State Bank of India
BHARTIARTL,Bharti Airtel
BAJFINANCE,Bajaj Finance
KOTAKBANK,Kotak Mahindra Bank
LT,Larsen & Toubro
AXISBANK,Axis Bank
HCLTECH,HCL Technologies
ASIANPAINT,Asian Paints
MARUTI,Maruti Suzuki India
SUNPHARMA,Sun Pharmaceutical
TITAN,Titan Company
WIPRO,Wipro
ULTRACEMCO,UltraTech Cement
NESTLEIND,Nestle India
ONGC,Oil & Natural Gas Corp
NTPC,NTPC
POWERGRID,Power Grid Corp
M&M,Mahindra & Mahindra
TATAMOTORS,Tata Motors
ADANIENT,Adani Enterprises
ADANIPORTS,Adani Ports & SEZ
COALINDIA,Coal India
BAJAJFINSV,Bajaj Finserv
TATASTEEL,Tata Steel
JSWSTEEL,JSW Steel
INDUSINDBK,IndusInd Bank
GRASIM,Grasim Industries
HINDALCO,Hindalco Industries
DRREDDY,Dr Reddy's Laboratories
CIPLA,Cipla
BRITANNIA,Britannia Industries
EICHERMOT,Eicher Motors
TECHM,Tech Mahindra
APOLLOHOSP,Apollo Hospitals
DIVISLAB,Divi's Laboratories
HEROMOTOCO,Hero MotoCorp
BAJAJ-AUTO,Bajaj Auto
TATACONSUM,Tata Consumer Products
BPCL,Bharat Petroleum
SBILIFE,SBI Life Insurance
HDFCLIFE,HDFC Life Insurance
SHRIRAMFIN,Shriram Finance
LTIM,LTIMindtree
PIDILITIND,Pidilite Industries
DABUR,Dabur India
GODREJCP,Godrej Consumer Products
DMART,Avenue Supermarts
SIEMENS,Siemens
HAVELLS,Havells India
AMBUJACEM,Ambuja Cements
BANKBARODA,Bank of Baroda
GAIL,GAIL India
DLF,DLF
ICICIPRULI,ICICI Prudential Life
ICICIGI,ICICI Lombard General Insurance
BEL,Bharat Electronics
VEDL,Vedanta
INDIGO,InterGlobe Aviation
PNB,Punjab National Bank
MARICO,Marico
COLPAL,Colgate-Palmolive India
BERGEPAINT,Berger Paints India
SRF,SRF
TORNTPHARM,Torrent Pharmaceuticals
BOSCHLTD,Bosch
UPL,UPL
CHOLAFIN,Cholamandalam Investment
NAUKRI,Info Edge India
MOTHERSON,Samvardhana Motherson
PAGEIND,Page Industries
LUPIN,Lupin
AUROPHARMA,Aurobindo Pharma
ZYDUSLIFE,Zydus Lifesciences
MUTHOOTFIN,Muthoot Finance
BANDHANBNK,Bandhan Bank
IDFCFIRSTB,IDFC First Bank
AUBANK,AU Small Finance Bank
INDUSTOWER,Indus Towers
TVSMOTOR,TVS Motor Company
ASHOKLEY,Ashok Leyland
BALKRISIND,Balkrishna Industries
CONCOR,Container Corp of India
NMDC,NMDC
SAIL,Steel Authority of India
PETRONET,Petronet LNG
IOC,Indian Oil Corp
HINDPETRO,Hindustan Petroleum
TATAPOWER,Tata Power
ADANIGREEN,Adani Green Energy
ADANIPOWER,Adani Power
JINDALSTEL,Jindal Steel & Power
PIIND,PI Industries
DIXON,Dixon Technologies
POLYCAB,Polycab India
ABBOTINDIA,Abbott India
GLAND,Gland Pharma
BIOCON,Biocon
ALKEM,Alkem Laboratories
MPHASIS,Mphasis
PERSISTENT,Persistent Systems
COFORGE,Coforge
OFSS,Oracle Financial Services
TRENT,Trent
VOLTAS,Voltas
CUMMINSIND,Cummins India
ABB,ABB India
SBICARD,SBI Cards & Payment Services
GODREJPROP,Godrej Properties
OBEROIRLTY,Oberoi Realty
LICHSGFIN,LIC Housing Finance
BHARATFORG,Bharat Forge
ESCORTS,Escorts Kubota
MRF,MRF
APOLLOTYRE,Apollo Tyres
ZOMATO,Zomato
NYKAA,FSN E-Commerce (Nykaa)
PAYTM,One 97 Communications (Paytm)
IRCTC,Indian Railway Catering & Tourism
