symbol,name
JPM,JPMorgan Chase
V,Visa
WMT,Walmart
JNJ,Johnson & Johnson
UNH,UnitedHealth Group
PG,Procter & Gamble
HD,Home Depot
MA,Mastercard
XOM,Exxon Mobil
CVX,Chevron
KO,Coca-Cola
BAC,Bank of America
MRK,Merck
ABBV,AbbVie
PEP,PepsiCo
ORCL,Oracle
CRM,Salesforce
MCD,McDonald's
DIS,Walt Disney
WFC,Wells Fargo
ACN,Accenture
ABT,Abbott Laboratories
LIN,Linde
TMO,Thermo Fisher Scientific
NKE,Nike
DHR,Danaher
VZ,Verizon Communications
PM,Philip Morris International
TXN,Texas Instruments
UNP,Union Pacific
CAT,Caterpillar
BA,Boeing
GS,Goldman Sachs
IBM,IBM
RTX,RTX
HON,Honeywell
LOW,Lowe's
SPGI,S&P Global
GE,General Electric (GE Aerospace)
BLK,BlackRock
AXP,American Express
ELV,Elevance Health
C,Citigroup
CVS,CVS Health
MS,Morgan Stanley
DE,Deere
LMT,Lockheed Martin
SYK,Stryker
BKNG,Booking Holdings
MDT,Medtronic
PLD,Prologis
TJX,TJX Companies
MMC,Marsh & McLennan
CB,Chubb
MO,Altria Group
PFE,Pfizer
NEE,NextEra Energy
SO,Southern Company
DUK,Duke Energy
CL,Colgate-Palmolive
GD,General Dynamics
NOC,Northrop Grumman
FDX,FedEx
EMR,Emerson Electric
APD,Air Products & Chemicals
MCO,Moody's
ICE,Intercontinental Exchange
USB,U.S. Bancorp
PNC,PNC Financial Services
TGT,Target
F,Ford Motor
GM,General Motors
KHC,Kraft Heinz
